Data Medicao,RADIACAO SOLAR MÉDIA DIÁRIA (Kj/m²),RADIACAO SOLAR MÁXIMA DIÁRIA (Kj/m²)
2008-11-03,867.4300833333333,2940.156
2008-11-04,1041.1649166666668,3403.652
2008-11-05,908.8684166666666,3400.653
2008-11-06,1056.8852916666667,3507.282
2008-11-07,982.5670416666666,3258.558
2008-11-08,985.3435833333333,3815.294
2008-11-09,1122.785208333333,3778.239
2008-11-10,1141.5540833333337,3854.149
2008-11-11,722.3452916666665,2543.301
2008-11-12,908.6835416666667,2989.565
2008-11-13,1000.3094166666666,3590.562
2008-11-14,965.946375,3144.604
2008-11-15,964.6336666666667,3185.289
2008-11-16,848.5630833333333,2752.781
2008-11-17,1123.452,3949.81
2008-11-18,776.4761249999998,2540.85
2008-11-19,998.5823333333333,3597.634
2008-11-20,974.3527916666667,3266.451
2008-11-21,1008.9308333333333,3557.432
2008-11-22,1070.3576249999999,3614.359
2008-11-23,978.2049166666667,3219.851
2008-11-24,1108.9287500000003,3766.32
2008-11-25,778.8648749999999,2571.966
2008-11-26,852.9978333333332,2817.716
2008-11-27,1010.9934583333334,3329.607
2008-11-28,1005.3487500000001,3620.305
2008-11-29,781.8911666666667,2585.402
2008-11-30,974.2450000000002,3502.336
2008-12-01,1031.4776666666664,3688.318
2008-12-02,1036.5919166666665,3736.858
2008-12-03,1048.5283333333334,3362.226
2008-12-04,1103.0942499999999,3631.336
2008-12-05,1072.157875,3816.322
2008-12-06,1011.7736249999999,3539.58
2008-12-07,840.7905833333333,2835.03
2008-12-08,1023.060875,3632.845
2008-12-09,770.4219166666666,2328.974
2008-12-10,441.2542083333333,2686.603
2008-12-11,973.8512499999997,3526.237
2008-12-12,963.4072916666665,3598.775
2008-12-13,1064.383,3660.918
2008-12-14,960.7875416666666,3246.3
2008-12-15,1017.8693749999999,3484.518
2008-12-16,1100.2552083333333,3998.595
2008-12-17,853.8460416666666,3039.995
2008-12-18,1069.3865833333332,3630.108
2008-12-19,949.2594166666667,3276.203
2008-12-20,742.4000833333331,2737.284
2008-12-21,1033.7363333333333,3324.695
2008-12-22,943.3792083333333,3617.02
2008-12-23,866.1636666666668,2848.728
2008-12-24,994.56675,3472.412
2008-12-25,953.8795,3584.939
2008-12-26,984.4466666666667,3705.267
2008-12-27,921.8707916666666,3158.057
2008-12-28,889.7307916666667,3097.88
2008-12-29,829.6536666666666,2676.038
2008-12-30,688.3649166666665,2612.623
2008-12-31,1040.1341666666665,3321.638
2009-01-01,1047.2287083333333,3295.92
2009-01-02,1076.6542083333331,3597.876
2009-01-03,1092.961375,3673.154
2009-01-04,1070.7757916666667,3652.934
2009-01-05,1073.2027916666666,3604.756
2009-01-06,960.6524166666665,3453.709
2009-01-07,1101.7301666666665,3810.251
2009-01-08,953.3905416666668,3234.818
2009-01-09,766.7822916666665,2644.715
2009-01-10,1078.1582916666666,3721.199
2009-01-11,1041.484416666667,3415.978
2009-01-12,1087.1720833333334,3770.459
2009-01-13,948.0669999999997,3529.132
2009-01-14,760.870375,3023.752
2009-01-15,1040.74675,3468.248
2009-01-16,423.82633333333337,1936.1
2009-01-17,890.6759999999999,3114.453
2009-01-18,1106.4715416666666,3697.6
2009-01-19,993.0063749999999,3404.038
2009-01-20,862.8331666666667,2659.399
2009-01-21,659.2727916666666,2857.683
2009-01-22,980.6259166666669,3707.004
2009-01-23,947.7128749999998,3467.555
2009-01-24,1001.0417916666667,3688.48
2009-01-25,1117.0765833333335,3591.061
2009-01-26,1021.7667083333331,3663.555
2009-01-27,941.4889999999999,3166.937
2009-01-28,912.836347826087,3675.485
2009-01-29,751.0688749999999,3258.274
2009-01-30,466.5610833333333,2095.655
2009-01-31,982.7458750000001,3636.01
2009-02-01,787.4259166666666,2825.144
2009-02-02,889.5441666666666,3171.115
2009-02-03,270.4411666666667,1362.828
2009-02-04,799.0573333333335,2942.827
2009-02-05,514.0458749999999,1824.132
2009-02-06,1158.5509583333335,3873.659
2009-02-07,969.1353750000002,3416.219
2009-02-08,947.1214999999999,3226.321
2009-02-09,960.0019166666666,3387.475
2009-02-10,831.7527916666667,3106.218
2009-02-11,715.9458333333336,2981.182
2009-02-12,768.4606666666667,2771.633
2009-02-13,965.1849583333332,3656.961
2009-02-14,876.1740416666667,2938.405
2009-02-15,780.466333333333,3388.016
2009-02-16,832.200875,3011.005
2009-02-17,925.4721249999999,2996.304
2009-02-18,981.7386249999996,3321.558
2009-02-19,938.5563749999998,3784.103
2009-02-20,297.7166666666667,1355.359
2009-02-21,1073.231,3747.916
2009-02-22,395.57741666666675,2274.781
2009-02-23,523.1710416666667,1583.387
2009-02-24,981.8878749999999,3411.121
2009-02-25,692.6958750000002,2970.572
2009-02-26,1031.9219583333334,3720.144
2009-02-27,1035.9260416666668,3900.766
2009-02-28,603.4161666666668,1821.509
2009-03-01,305.63675,1263.883
2009-03-02,570.62125,3230.751
2009-03-03,805.1713749999999,3049.039
2009-03-04,1099.1705416666666,3513.676
2009-03-05,932.3155416666668,3319.521
2009-03-06,978.7513333333332,3291.463
2009-03-07,973.5674583333333,3568.521
2009-03-08,873.7503333333333,2944.51
2009-03-09,1002.3972499999999,3566.008
2009-03-10,1142.2878333333335,3840.492
2009-03-11,964.3808333333333,3292.579
2009-03-12,969.239625,3672.089
2009-03-13,935.0347083333335,3761.818
2009-03-14,1091.147541666667,3740.964
2009-03-15,1031.0441666666668,3717.014
2009-03-16,852.9923333333331,3527.754
2009-03-17,1000.6753749999999,3928.525
2009-03-18,1057.7843333333333,3844.766
2009-03-19,1108.006625,3821.344
2009-03-20,1014.0829583333333,3314.744
2009-03-21,942.4680416666666,3303.61
2009-03-22,992.4280416666666,3527.261
2009-03-23,951.6135833333334,3561.372
2009-03-24,1080.0255416666662,3769.215
2009-03-25,790.1012916666667,3221.482
2009-03-26,970.33775,3316.66
2009-03-27,1003.2359166666665,3806.17
