Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2013-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
2010-08-13;6,1;
2010-08-14;9,5;
2010-08-15;9,7;
2010-08-16;10,1;
2010-08-17;10,5;
2010-08-18;7,5;
2010-08-19;9,8;
2010-08-20;10,4;
2010-08-21;5,4;
2010-08-22;,2;
2010-08-23;6,6;
2010-08-24;4,1;
2010-08-25;5,7;
2010-08-26;8,2;
2010-08-27;5,3;
2010-08-28;9,7;
2010-08-29;4;
2010-08-30;8,9;
2010-08-31;5,8;
2010-09-01;9,1;
2010-09-02;8,3;
2010-09-03;8,7;
2010-09-04;1,6;
2010-09-05;9,2;
2010-09-06;10,7;
2010-09-07;6,8;
2010-09-08;2,7;
2010-09-09;,1;
2010-09-10;9;
2010-09-11;6,4;
2010-09-12;8,1;
2010-09-13;10;
2010-09-14;5,3;
2010-09-15;9,8;
2010-09-16;9;
2010-09-17;6,2;
2010-09-18;9,3;
2010-09-19;2,6;
2010-09-20;7,5;
2010-09-21;5;
2010-09-22;9,1;
2010-09-23;9,2;
2010-09-24;5,2;
2010-09-25;5,7;
2010-09-26;7,7;
2010-09-27;9;
2010-09-28;5,6;
2010-09-29;9,6;
2010-09-30;9,7;
2010-10-01;9,5;
2010-10-02;9,2;
2010-10-03;9;
2010-10-04;9,7;
2010-10-05;9,5;
2010-10-06;9,5;
2010-10-07;9,8;
2010-10-08;9,9;
2010-10-09;9,5;
2010-10-10;9,3;
2010-10-11;8,8;
2010-10-12;9,2;
2010-10-13;9;
2010-10-14;7,2;
2010-10-15;9;
2010-10-16;8,2;
2010-10-17;9,9;
2010-10-18;9,2;
2010-10-19;7,2;
2010-10-20;9,7;
2010-10-21;8,5;
2010-10-22;8;
2010-10-23;0;
2010-10-24;8,9;
2010-10-25;6,4;
2010-10-26;9,6;
2010-10-27;3,2;
2010-10-28;9,1;
2010-10-29;9,3;
2010-10-30;10,2;
2010-10-31;6,3;
2010-11-01;10;
2010-11-02;9,7;
2010-11-03;9,8;
2010-11-04;8,1;
2010-11-05;8,7;
2010-11-06;8,4;
2010-11-07;8,7;
2010-11-08;9;
2010-11-09;10,4;
2010-11-10;9;
2010-11-11;8,2;
2010-11-12;10,1;
2010-11-13;8;
2010-11-14;9,1;
2010-11-15;8,3;
2010-11-16;10,3;
2010-11-17;10,7;
2010-11-18;10,3;
2010-11-19;10,2;
2010-11-20;10,2;
2010-11-21;10,4;
2010-11-22;9,8;
2010-11-23;10,3;
2010-11-24;9,2;
2010-11-25;9,6;
2010-11-26;10,5;
2010-11-27;10,6;
2010-11-28;9,1;
2010-11-29;9,2;
2010-11-30;10,6;
2010-12-01;7,9;
2010-12-02;7,4;
2010-12-03;10,3;
2010-12-04;9,8;
2010-12-05;9,4;
2010-12-06;9,2;
2010-12-07;9,9;
2010-12-08;4,8;
2010-12-09;9,4;
2010-12-10;1,9;
2010-12-11;10,1;
2010-12-12;10,4;
2010-12-13;7,2;
2010-12-14;9,8;
2010-12-15;8,3;
2010-12-16;3;
2010-12-17;5,2;
2010-12-18;8,7;
2010-12-19;9;
2010-12-20;8,8;
2010-12-21;9,6;
2010-12-22;9,6;
2010-12-23;7,6;
2010-12-24;8,5;
2010-12-25;8,7;
2010-12-26;10,3;
2010-12-27;10,4;
2010-12-28;10,2;
2010-12-29;10,3;
2010-12-30;2,9;
2010-12-31;8,3;
2011-01-01;9,2;
2011-01-02;10,2;
2011-01-03;10,1;
2011-01-04;6,5;
2011-01-05;10,6;
2011-01-06;,9;
2011-01-07;8,1;
2011-01-08;10,4;
2011-01-09;6;
2011-01-10;5,4;
2011-01-11;8,6;
2011-01-12;8,9;
2011-01-13;10;
2011-01-14;6;
2011-01-15;10,3;
2011-01-16;9,8;
2011-01-17;6,6;
2011-01-18;8,7;
2011-01-19;5,9;
2011-01-20;,8;
2011-01-21;3,4;
2011-01-22;3,5;
2011-01-23;4;
2011-01-24;1,4;
2011-01-25;6,9;
2011-01-26;10,1;
2011-01-27;9,6;
2011-01-28;,5;
2011-01-29;10;
2011-01-30;5,3;
2011-01-31;9,1;
2011-02-01;10;
2011-02-02;9,6;
2011-02-03;9,3;
2011-02-04;10,2;
2011-02-05;9,7;
2011-02-06;9,6;
2011-02-07;9,9;
2011-02-08;9,7;
2011-02-09;9,5;
2011-02-10;9,6;
2011-02-11;8,4;
2011-02-12;8,2;
2011-02-13;2,1;
2011-02-14;6,5;
2011-02-15;7,7;
2011-02-16;7,8;
2011-02-17;10,3;
2011-02-18;9,8;
2011-02-19;8,8;
2011-02-20;0;
2011-02-21;8,6;
