Data Medicao,RADIACAO GLOBAL MÁXIMA(Kj/m²)
2009-04-06,2330.898
2009-04-07,3572.289
2009-04-08,3462.823
2009-04-09,3490.55
2009-04-10,1752.738
2009-04-11,2746.784
2009-04-12,2535.235
2009-04-13,2766.29
2009-04-14,2998.248
2009-04-15,3569.128
2009-04-16,3154.593
2009-04-17,3379.737
2009-04-18,2380.028
2009-04-19,3342.737
2009-04-20,2006.167
2009-04-21,3460.937
2009-04-22,1364.245
2009-04-23,3441.979
2009-04-24,2002.965
2009-04-25,3180.573
2009-04-26,3407.354
2009-04-27,1601.546
2009-04-28,3521.801
2009-04-29,3007.689
2009-04-30,2958.635
2009-05-01,3445.005
2009-05-02,2006.326
2009-05-03,539.578
2009-05-04,3192.527
2009-05-05,2409.554
2009-05-06,3375.469
2009-05-07,3069.535
2009-05-08,2654.759
2009-05-09,3294.896
2009-05-10,3222.013
2009-05-11,799.736
2009-05-12,3308.66
2009-05-13,3367.827
2009-05-14,3420.239
2009-05-15,3068.718
2009-05-16,1058.959
2009-05-17,3286.109
2009-05-18,2717.525
2009-05-19,2634.012
2009-05-20,3251.422
2009-05-21,2169.648
2009-05-22,1242.329
2009-05-23,1539.049
2009-05-24,1961.753
2009-05-25,3195.885
2009-05-26,624.311
2009-05-27,783.824
2009-05-28,2949.125
2009-05-29,2737.104
2009-05-30,2966.66
2009-05-31,3318.79
2009-06-01,1006.713
2009-06-02,3332.606
2009-06-03,2915.6
2009-06-04,1281.673
2009-06-05,2226.616
2009-06-06,2649.379
2009-06-07,2822.996
2009-06-08,2833.858
2009-06-09,2862.744
2009-06-10,1166.361
2009-06-11,3045.913
2009-06-12,1823.184
2009-06-13,2356.733
2009-06-14,2754.674
2009-06-15,3047.406
2009-06-16,2867.232
2009-06-17,3107.938
2009-06-18,3092.558
2009-06-19,2334.893
2009-06-20,3061.883
2009-06-21,3074.54
2009-06-22,2287.107
2009-06-23,1844.704
2009-06-24,2038.031
2009-06-25,1986.909
2009-06-26,3137.265
2009-06-27,3069.135
2009-06-28,3143.59
2009-06-29,2975.732
2009-06-30,3104.481
2009-07-01,2420.643
2009-07-02,2879.348
2009-07-03,3055.503
2009-07-04,1619.763
2009-07-05,2047.483
2009-07-06,937.86
2009-07-07,2813.462
2009-07-08,2745.56
2009-07-09,3089.352
2009-07-10,2720.876
2009-07-11,3098.835
2009-07-12,3226.515
2009-07-13,2700.977
2009-07-14,3037.782
2009-07-15,2981.913
